Gender,Measures,Weights,Age
M,"(1.3375, 1.0875, 0.375)","(9.85145125, 4.09650275, 5.499803)",9
M,"(1.3875, 1.0625, 0.325)","(7.484268, 4.762716, 7.7961125)",13
I,"(1.25, 1.025, 0.35)","(7.32834575, 4.60679375, 5.556502)",9
M,"(1.4375, 1.125, 0.4625)","(9.695529, 5.5848515, 9.922325)",12
F,"(1.4125, 1.1375, 0.325)","(12.4454305, 7.49844275, 8.50485)",10
I,"(0.8375, 0.625, 0.1875)","(2.67902775, 1.077281, 1.26155275)",7
M,"(1.5625, 1.25, 0.4625)","(16.99552525, 7.030676, 9.4970825)",10
F,"(1.6, 1.3125, 0.5375)","(12.85649825, 8.09378225, 15.592225)",22
F,"(1.75, 1.4625, 0.4625)","(20.00057225, 9.11436425, 13.4660125)",29
F,"(1.4875, 1.1875, 0.4125)","(12.587178, 6.066793, 10.489315)",10
M,"(1.5, 1.1875, 0.425)","(14.401546, 7.711064, 8.7599955)",10
F,"(0.9, 0.6625, 0.225)","(2.721552, 1.0489315, 2.08368825)",10
F,"(1.5, 1.125, 0.35)","(10.489315, 5.0178615, 6.87475375)",10
F,"(1.45, 1.25, 0.4125)","(10.489315, 5.2446575, 8.51902475)",10
F,"(1.4875, 1.1625, 0.375)","(11.679994, 7.78193775, 8.1930055)",11
M,"(1.4875, 1.15, 0.3875)","(12.11941125, 5.8683465, 9.36950975)",10
M,"(1.2625, 1.0125, 0.275)","(8.6465975, 4.53592, 4.9611625)",9
M,"(1.2625, 0.9625, 0.2875)","(5.953395, 2.93417325, 4.35164825)",10
I,"(1.0875, 0.825, 0.275)","(5.82582225, 2.721552, 2.721552)",6
F,"(1.2625, 0.975, 0.2875)","(8.63242275, 4.40834725, 4.9611625)",8
F,"(1.55, 1.2125, 0.3875)","(14.47241975, 7.6827145, 9.979024)",9
M,"(1.8125, 1.375, 0.5)","(24.76328825, 12.09106175, 14.41572075)",9
F,"(1.4875, 1.125, 0.4125)","(13.891255, 7.15824875, 7.9095105)",12
M,"(1.4375, 1.1375, 0.3875)","(13.28174075, 5.91087075, 8.3631025)",11
M,"(1.025, 0.8375, 0.2875)","(5.386405, 2.4097075, 3.8271825)",8
I,"(1.0625, 0.85, 0.25)","(4.252425, 2.45223175, 3.2601925)",8
I,"(1.2375, 0.9625, 0.3125)","(7.81028725, 3.50116325, 4.6776675)",8
I,"(1.4625, 1.05, 0.3625)","(8.20718025, 3.81300775, 6.23689)",9
M,"(1.1875, 0.9625, 0.3625)","(6.6621325, 3.061746, 6.0951425)",14
M,"(1.475, 1.125, 0.4625)","(13.4093135, 7.824462, 12.0485375)",16
I,"(0.9625, 0.7125, 0.225)","(2.65067825, 1.871067, 1.984465)",6
F,"(1.2625, 1.0625, 0.35)","(7.7961125, 4.60679375, 8.0796075)",19
F,"(1.8, 1.3125, 0.45)","(17.8885345, 9.11436425, 12.3320325)",7
I,"(1.175, 0.95, 0.3125)","(5.9817445, 3.04757125, 4.025629)",6
M,"(1.2625, 0.9125, 0.2875)","(7.087375, 2.721552, 4.252425)",8
M,"(1.4125, 1.0875, 0.4625)","(10.035723, 5.79747275, 8.788345)",20
F,"(1.0375, 0.85, 0.325)","(4.139027, 2.50893075, 3.40194)",10
M,"(1.475, 1.125, 0.3)","(9.48290775, 3.72795925, 6.23689)",14
I,"(1.0875, 0.8375, 0.2625)","(4.422522, 1.417475, 3.21766825)",7
F,"(1.5875, 1.1875, 0.375)","(15.1102835, 8.7032965, 8.2497045)",10
M,"(1.325, 1.0125, 0.375)","(9.979024, 5.3013565, 7.15824875)",10
I,"(1.075, 0.8, 0.25)","(5.443104, 2.11203775, 2.83495)",7
M,"(1.1625, 0.8875, 0.3125)","(5.74077375, 3.8271825, 4.1106775)",13
I,"(1.4375, 1.0875, 0.325)","(8.94426725, 6.10931725, 6.9456275)",10
F,"(1.4125, 1.125, 0.4375)","(12.6722265, 6.73300625, 7.49844275)",9
M,"(1.15, 0.95, 0.3375)","(5.8683465, 3.47281375, 4.1106775)",10
M,"(1.5875, 1.25, 0.45)","(12.48795475, 6.56290925, 10.9712565)",9
F,"(1.825, 1.4375, 0.4625)","(26.3933845, 10.77281, 13.67863375)",12
I,"(0.4, 0.3, 0.05)","(0.21262125, 0.12757275, 0.1417475)",4
M,"(1.5375, 1.1875, 0.425)","(13.437663, 8.20718025, 6.80388)",11
F,"(1.6375, 1.3125, 0.475)","(15.989118, 9.11436425, 11.29727575)",10
M,"(1.5, 1.1875, 0.4375)","(15.5638755, 8.15048125, 10.20582)",11
F,"(1.625, 1.2875, 0.4875)","(14.72756525, 10.20582, 12.47378)",13
F,"(1.6625, 1.325, 0.4625)","(12.927372, 9.08601475, 13.891255)",15
I,"(1.025, 0.75, 0.225)","(3.6570855, 2.0128145, 2.70737725)",8
M,"(1.8375, 1.3875, 0.55)","(35.13920525, 10.33339275, 17.56251525)",12
F,"(1.4875, 1.1625, 0.3875)","(13.16834275, 3.175144, 8.6465975)",12
I,"(0.7375, 0.5375, 0.1875)","(1.0489315, 0.83631025, 1.13398)",8
M,"(1.5125, 1.1875, 0.4375)","(15.29455525, 7.7961125, 8.7599955)",10
F,"(1.8, 1.4125, 0.425)","(20.4966885, 9.22776225, 14.01882775)",12
I,"(1.0125, 0.75, 0.225)","(2.9199985, 1.8994165, 3.118445)",6
I,"(0.95, 0.675, 0.2)","(2.45223175, 1.190679, 1.984465)",8
I,"(1.55, 1.125, 0.3375)","(10.149121, 6.42116175, 8.40562675)",10
F,"(1.45, 1.15, 0.3375)","(11.41067375, 5.896696, 7.7961125)",8
I,"(1.15, 0.925, 0.3)","(7.49844275, 3.061746, 3.81300775)",6
M,"(1.2625, 1.0, 0.3875)","(7.69688925, 5.03203625, 8.0796075)",12
F,"(1.275, 1.0, 0.3125)","(7.3992195, 3.2601925, 3.92640575)",6
I,"(0.8125, 0.625, 0.2)","(1.68679525, 1.00640725, 1.7860185)",7
F,"(1.7375, 1.375, 0.3875)","(21.7440665, 12.530479, 11.83591625)",10
I,"(1.1875, 0.9125, 0.3125)","(6.4920355, 3.35941575, 4.876114)",9
I,"(0.875, 0.6625, 0.2)","(2.2963095, 1.31825175, 1.5025235)",6
F,"(1.4, 1.1375, 0.475)","(8.0229085, 3.6570855, 7.7961125)",9
I,"(0.6625, 0.5, 0.1625)","(1.13398, 0.58116475, 0.793786)",7
I,"(1.0875, 0.8375, 0.275)","(4.40834725, 1.91359125, 3.8271825)",12
I,"(1.05, 0.8625, 0.2875)","(4.29494925, 2.25378525, 3.2601925)",9
M,"(1.4375, 1.175, 0.375)","(12.77144975, 5.556502, 7.824462)",9
M,"(1.6125, 1.2125, 0.5375)","(15.478827, 7.41339425, 18.0019325)",16
I,"(0.675, 0.5, 0.175)","(0.963883, 0.69456275, 0.9922325)",5
I,"(1.35, 1.05, 0.35)","(8.85921875, 3.912231, 5.37223025)",10
I,"(1.45, 1.225, 0.4875)","(15.03940975, 7.200773, 11.623295)",18
F,"(1.0375, 0.7625, 0.325)","(3.69960975, 2.14038725, 2.9766975)",8
M,"(1.675, 1.3, 0.4125)","(20.1564945, 8.12213175, 8.50485)",11
I,"(1.275, 1.1375, 0.3375)","(8.15048125, 4.365823, 5.76912325)",9
M,"(1.5375, 1.1875, 0.4375)","(13.13999325, 8.77417025, 7.72523875)",10
F,"(1.1, 0.85, 0.35)","(5.273007, 3.07592075, 4.53592)",9
F,"(1.5875, 1.3, 0.4125)","(14.35902175, 8.391452, 11.679994)",11
M,"(1.4, 1.075, 0.3625)","(13.154168, 5.03203625, 6.633783)",9
F,"(1.5625, 1.2875, 0.45)","(14.89766225, 7.144074, 11.12717875)",14
I,"(1.25, 0.95, 0.3375)","(6.406987, 3.4869885, 5.9250455)",8
I,"(1.2875, 1.0, 0.3375)","(8.66077225, 3.44446425, 5.25883225)",9
M,"(1.3375, 1.0875, 0.375)","(7.6260155, 3.92640575, 7.087375)",9
I,"(1.35, 1.05, 0.35)","(7.10154975, 3.33106625, 6.6621325)",9
I,"(1.2125, 0.8875, 0.325)","(6.9456275, 3.742134, 4.762716)",12
M,"(1.875, 1.4875, 0.5125)","(30.7025085, 11.9351395, 17.860185)",12
F,"(1.3375, 1.0, 0.375)","(17.519991, 7.7961125, 8.15048125)",10
I,"(0.9875, 0.775, 0.2125)","(4.3374735, 1.43164975, 2.65067825)",7
M,"(1.5, 1.1875, 0.4375)","(14.47241975, 7.257472, 8.0796075)",9
I,"(0.975, 0.725, 0.225)","(3.3168915, 1.530873, 2.1829115)",7
I,"(0.75, 0.575, 0.2125)","(1.417475, 0.49611625, 1.17650425)",6
I,"(0.75, 0.575, 0.1875)","(1.474174, 0.850485, 0.97805775)",6
I,"(0.725, 0.5125, 0.175)","(1.020582, 0.5386405, 0.9922325)",8
F,"(1.65, 1.25, 0.3875)","(18.38465075, 8.164656, 9.4970825)",12
M,"(1.55, 1.2125, 0.3875)","(12.0485375, 6.56290925, 9.4970825)",12
M,"(1.35, 1.05, 0.475)","(8.3064035, 4.6209685, 10.77281)",10
F,"(1.6375, 1.2625, 0.4125)","(16.54193325, 9.96484925, 11.226402)",10
M,"(1.2875, 1.0, 0.35)","(8.37727725, 5.216308, 5.2446575)",16
I,"(1.0625, 0.8125, 0.275)","(3.8271825, 1.360776, 2.551455)",8
I,"(0.7875, 0.6, 0.2125)","(2.0128145, 0.97805775, 1.51669825)",7
M,"(1.5375, 1.125, 0.375)","(20.0430965, 5.93922025, 7.10154975)",7
F,"(1.4375, 1.1625, 0.35)","(12.530479, 5.14543425, 7.66853975)",9
M,"(1.4625, 1.0125, 0.375)","(12.3320325, 5.726599, 9.2135875)",15
I,"(1.2625, 1.0125, 0.325)","(8.54737425, 3.118445, 5.10291)",8
F,"(1.4875, 1.2375, 0.4625)","(11.793392, 6.350288, 13.7495075)",13
M,"(1.5, 1.1625, 0.4125)","(14.10387625, 6.25106475, 7.1157245)",9
M,"(0.5125, 0.3875, 0.1125)","(0.4819415, 0.15592225, 0.43941725)",7
I,"(0.5, 0.3625, 0.0625)","(0.3118445, 0.21262125, 0.283495)",5
F,"(1.8, 1.375, 0.5)","(25.61377325, 13.2959155, 14.78426425)",10
M,"(0.9, 0.7375, 0.25)","(1.871067, 1.48834875, 2.1262125)",9
I,"(1.2625, 1.0, 0.3625)","(9.468733, 4.03980375, 5.8683465)",8
F,"(1.4, 1.125, 0.4)","(12.1619355, 7.597666, 8.50485)",10
F,"(1.6, 1.25, 0.425)","(16.0174675, 9.56795625, 8.9300925)",9
M,"(1.1625, 0.875, 0.3)","(5.71242425, 4.60679375, 5.2446575)",11
I,"(1.1, 0.875, 0.3125)","(5.953395, 2.70737725, 3.7137845)",8
I,"(1.2, 0.8875, 0.2875)","(5.85417175, 3.175144, 3.742134)",8
I,"(1.1, 0.85, 0.3125)","(4.91863825, 2.48058125, 5.6699)",13
M,"(1.575, 1.275, 0.4375)","(18.63979625, 7.427569, 10.6310625)",10
M,"(1.325, 1.075, 0.3375)","(7.93786, 6.13766675, 7.087375)",10
I,"(0.7, 0.525, 0.2125)","(1.17650425, 0.680388, 0.963883)",5
I,"(1.2, 0.925, 0.3125)","(6.917278, 2.8632995, 4.6776675)",9
F,"(1.4625, 1.125, 0.4)","(11.4815475, 6.27941425, 6.61960825)",8
I,"(0.875, 0.625, 0.1875)","(2.36718325, 1.00640725, 1.1623295)",6
F,"(1.45, 1.0875, 0.3875)","(12.0485375, 4.77689075, 6.87475375)",10
M,"(1.5375, 1.2625, 0.475)","(19.03668925, 8.29222875, 10.3475675)",8
M,"(1.375, 1.0875, 0.275)","(9.68135425, 5.7549485, 6.0951425)",9
I,"(1.125, 0.825, 0.25)","(5.51397775, 2.83495, 2.778251)",6
F,"(1.575, 1.1875, 0.4375)","(11.77921725, 9.59630575, 13.891255)",14
M,"(1.2, 0.925, 0.25)","(6.8889285, 2.87747425, 3.8271825)",8
I,"(0.85, 0.6625, 0.2)","(2.551455, 1.34660125, 1.5592225)",5
I,"(1.05, 0.8, 0.275)","(4.932813, 1.80019325, 2.9766975)",7
M,"(1.1375, 0.8875, 0.3375)","(5.28718175, 2.65067825, 4.762716)",13
F,"(1.6125, 1.2625, 0.4125)","(19.391058, 8.731646, 9.525432)",8
I,"(1.15, 0.8875, 0.275)","(5.59902625, 2.721552, 3.5436875)",8
I,"(1.025, 0.8125, 0.25)","(3.742134, 2.041164, 3.005047)",6
M,"(1.4125, 1.0625, 0.4)","(9.90815025, 6.19436575, 7.7961125)",17
M,"(1.5625, 1.2875, 0.425)","(16.23008875, 8.51902475, 10.2341695)",9
I,"(1.0, 0.775, 0.25)","(3.005047, 2.0128145, 2.4097075)",7
M,"(1.925, 1.5, 0.5375)","(29.80949925, 13.664459, 16.556108)",10
M,"(1.35, 1.05, 0.3375)","(9.87980075, 5.08873525, 6.6621325)",11
M,"(1.8, 1.4125, 0.5)","(20.354941, 10.9145575, 14.9968855)",11
M,"(1.25, 0.9625, 0.3)","(6.53455975, 3.5436875, 6.6621325)",14
M,"(1.5625, 1.25, 0.4375)","(13.08329425, 7.314171, 8.6465975)",10
I,"(0.9625, 0.75, 0.2375)","(4.309124, 1.74349425, 2.08368825)",7
M,"(1.525, 1.175, 0.4)","(12.7289255, 6.64795775, 8.34892775)",9
I,"(0.9, 0.675, 0.2125)","(2.48058125, 0.9922325, 1.814368)",4
I,"(1.375, 1.05, 0.325)","(8.334753, 4.082328, 4.97533725)",8
M,"(1.675, 1.25, 0.475)","(17.463292, 10.999606, 11.7650425)",10
F,"(1.5375, 1.1875, 0.425)","(13.31009025, 6.67630725, 9.7805775)",14
I,"(0.45, 0.325, 0.1125)","(0.35436875, 0.283495, 0.2551455)",3
M,"(1.35, 1.05, 0.3875)","(9.96484925, 4.309124, 6.0951425)",12
M,"(1.675, 1.275, 0.45)","(26.251637, 8.43397625, 11.15552825)",13
M,"(0.8375, 0.5875, 0.2125)","(1.871067, 0.97805775, 1.2757275)",6
F,"(1.3625, 1.025, 0.3125)","(8.34892775, 3.72795925, 5.8116475)",10
I,"(1.175, 0.8875, 0.3)","(4.7343665, 2.50893075, 3.2601925)",8
F,"(1.35, 1.1, 0.4)","(11.0846545, 6.50621025, 10.0640725)",15
I,"(0.7875, 0.5875, 0.175)","(1.644271, 0.92135875, 1.3324265)",7
F,"(1.125, 0.8875, 0.2625)","(6.7188315, 3.30271675, 4.1106775)",8
M,"(1.4125, 1.175, 0.4875)","(10.9712565, 7.314171, 9.922325)",17
F,"(1.4, 1.1, 0.3875)","(12.23280925, 7.4559185, 7.2291225)",9
I,"(1.5, 1.1125, 0.3375)","(12.6155275, 5.76912325, 7.1724235)",9
F,"(1.3, 1.0625, 0.4125)","(11.226402, 6.3786375, 9.07184)",16
F,"(1.625, 1.3625, 0.575)","(15.88989475, 8.20718025, 23.1048425)",16
M,"(1.4125, 1.1, 0.4375)","(11.1413535, 5.6699, 10.6310625)",20
I,"(0.625, 0.475, 0.15)","(1.020582, 0.32601925, 0.69456275)",6
M,"(1.2, 0.9375, 0.3)","(7.18659825, 3.628736, 4.876114)",11
M,"(1.0375, 0.7875, 0.3)","(5.6415505, 2.4664065, 2.7499015)",8
M,"(1.075, 0.8375, 0.2875)","(4.706017, 2.65067825, 3.8271825)",8
F,"(1.475, 1.1375, 0.4125)","(10.77281, 6.95980225, 7.93786)",12
M,"(1.5375, 1.1875, 0.3875)","(12.40290625, 7.32834575, 8.788345)",11
I,"(0.925, 0.7, 0.2375)","(3.458639, 1.474174, 2.26796)",7
M,"(1.6, 1.4375, 0.4375)","(17.7184375, 7.540967, 12.45960525)",11
I,"(1.125, 0.875, 0.3375)","(6.25106475, 2.67902775, 3.98310475)",7
F,"(1.6, 1.2, 0.3625)","(14.401546, 6.80388, 9.63883)",10
I,"(1.0875, 0.8125, 0.25)","(4.932813, 2.05533875, 3.0900955)",7
M,"(1.3, 1.0625, 0.3875)","(8.4198015, 3.4869885, 7.2291225)",17
M,"(1.425, 1.1375, 0.375)","(11.04213025, 6.10931725, 7.78193775)",9
M,"(1.5, 1.2, 0.4375)","(11.69416875, 7.75358825, 11.7650425)",13
M,"(1.225, 0.95, 0.35)","(6.53455975, 4.025629, 5.5281525)",13
M,"(1.625, 1.3125, 0.4625)","(18.8524175, 9.5537815, 10.716111)",11
M,"(1.5625, 1.25, 0.325)","(16.40018575, 5.79747275, 7.087375)",8
F,"(1.4375, 1.1625, 0.4375)","(13.42348825, 5.726599, 9.922325)",9
I,"(1.1125, 0.8, 0.3)","(4.309124, 2.33883375, 3.40194)",8
I,"(0.975, 0.75, 0.2375)","(4.72019175, 1.63009625, 2.5231055)",7
F,"(1.6625, 1.25, 0.375)","(13.11164375, 8.37727725, 10.19164525)",10
M,"(1.3, 0.9875, 0.3125)","(11.43902325, 4.706017, 5.6699)",7
M,"(1.45, 1.1375, 0.3375)","(11.4815475, 4.7343665, 5.783298)",10
F,"(1.1625, 0.975, 0.275)","(5.14543425, 4.4508715, 6.3786375)",13
M,"(1.4375, 1.125, 0.3875)","(12.1619355, 5.839997, 7.3425205)",7
I,"(1.1875, 0.875, 0.2875)","(6.73300625, 2.8066005, 3.96893)",7
M,"(1.875, 1.3875, 0.5375)","(30.09299425, 14.84096325, 14.9827108)",11
F,"(1.1375, 0.875, 0.3125)","(4.49339575, 2.891649, 3.78465825)",16
M,"(1.6125, 1.275, 0.3875)","(18.15785475, 10.16329575, 12.190285)",11
F,"(1.45, 1.1375, 0.425)","(10.602713, 6.05261825, 8.0796075)",13
F,"(1.0125, 0.8125, 0.275)","(4.2807745, 1.7860185, 3.3168915)",9
I,"(1.4, 1.05, 0.35)","(11.736693, 6.066793, 5.6699)",8
I,"(1.1375, 0.9, 0.2875)","(5.91087075, 2.42388225, 4.1673765)",10
M,"(1.6375, 1.2875, 0.4)","(15.6772735, 10.4609655, 9.7805775)",11
I,"(0.5625, 0.425, 0.125)","(0.5386405, 0.340194, 0.4819415)",4
F,"(1.65, 1.325, 0.425)","(14.7133905, 7.44174375, 12.47378)",13
F,"(1.175, 0.8875, 0.325)","(5.68407475, 3.572037, 5.2446575)",14
F,"(1.5625, 1.2125, 0.4375)","(19.17843675, 7.41339425, 10.50348975)",10
I,"(1.2625, 0.95, 0.3375)","(7.49844275, 2.6932025, 4.6776675)",9
M,"(1.55, 1.2625, 0.4625)","(19.561155, 10.432616, 9.922325)",13
I,"(1.3375, 0.975, 0.3125)","(7.35669525, 4.2240755, 4.7910655)",9
M,"(1.1625, 0.9, 0.2625)","(4.876114, 3.0333965, 4.9611625)",9
I,"(1.1, 0.825, 0.275)","(4.37999775, 2.381358, 3.40194)",7
F,"(1.375, 1.175, 0.375)","(10.6877615, 5.216308, 8.221355)",9
F,"(1.2875, 0.9875, 0.35)","(7.9662095, 3.55786225, 6.23689)",12
I,"(1.3375, 1.125, 0.3875)","(10.36174225, 4.195726, 7.35669525)",10
F,"(1.5625, 1.225, 0.3875)","(18.92329125, 7.3425205, 9.355335)",10
I,"(1.475, 1.125, 0.3625)","(12.133586, 7.597666, 7.5126175)",10
F,"(1.5125, 1.1875, 0.4375)","(13.1258185, 6.22271525, 9.4970825)",9
F,"(1.4, 1.1125, 0.4875)","(8.6465975, 6.36446275, 9.4970825)",16
I,"(1.4125, 1.075, 0.3125)","(7.98038425, 3.9405805, 5.953395)",9
I,"(0.6875, 0.5125, 0.1625)","(1.1623295, 0.5953395, 0.963883)",5
M,"(0.825, 0.6375, 0.2375)","(2.08368825, 1.2757275, 1.70097)",7
F,"(1.85, 1.5, 0.4875)","(16.953001, 11.58077075, 20.128145)",16
M,"(1.6125, 1.2875, 0.4)","(14.344847, 8.8166945, 9.4970825)",9
I,"(1.375, 1.0, 0.3375)","(9.39785925, 4.23825025, 6.2652395)",9
I,"(1.15, 0.9125, 0.275)","(4.97533725, 2.891649, 4.252425)",8
I,"(1.05, 0.8125, 0.2875)","(3.67126025, 1.80019325, 2.83495)",8
F,"(1.0375, 0.7625, 0.2625)","(3.40194, 2.324659, 2.83495)",10
M,"(1.3875, 1.1375, 0.4)","(11.12717875, 6.463686, 8.3064035)",13
F,"(1.4375, 1.125, 0.425)","(10.70193625, 4.83358975, 10.9145575)",18
F,"(1.5375, 1.1875, 0.3875)","(12.68640125, 5.4714535, 8.20718025)",10
I,"(1.2375, 0.9375, 0.2875)","(6.8322295, 2.9199985, 4.252425)",8
M,"(1.6, 1.25, 0.4625)","(12.60135275, 7.47009325, 13.1825175)",16
I,"(1.525, 1.2, 0.4125)","(11.94931425, 7.484268, 9.4970825)",13
F,"(1.375, 1.1125, 0.3875)","(15.422128, 5.046211, 6.180191)",9
I,"(1.2, 0.975, 0.375)","(7.824462, 3.798833, 5.2446575)",13
M,"(0.8, 0.6, 0.2)","(2.26796, 1.09145575, 1.5592225)",6
M,"(1.8625, 1.4375, 0.5)","(27.045423, 9.525432, 14.0330025)",12
I,"(1.225, 0.9375, 0.3125)","(7.9095105, 3.2601925, 3.685435)",8
F,"(1.6625, 1.3125, 0.45)","(19.220961, 6.4920355, 12.927372)",14
M,"(1.3875, 1.0, 0.325)","(9.412034, 4.49339575, 5.10291)",7
F,"(1.45, 1.1625, 0.4125)","(11.453198, 5.93922025, 9.922325)",11
I,"(1.2, 0.8375, 0.3125)","(6.973977, 3.10427025, 4.1106775)",7
M,"(1.2375, 1.0375, 0.4125)","(7.484268, 3.798833, 8.0796075)",13
F,"(1.6125, 1.3, 0.4375)","(18.9091165, 7.55514175, 10.0640725)",10
F,"(1.45, 1.125, 0.5875)","(8.50485, 5.839997, 11.1980525)",14
M,"(1.375, 1.05, 0.425)","(9.525432, 6.81805475, 6.9456275)",13
F,"(1.1875, 0.95, 0.3375)","(4.91863825, 1.984465, 5.2446575)",7
M,"(1.6875, 1.3125, 0.4375)","(13.6928085, 9.08601475, 13.1825175)",16
M,"(1.3125, 1.0125, 0.3)","(10.64523725, 4.40834725, 5.6982495)",9
M,"(1.575, 1.2125, 0.4125)","(18.61144675, 6.56290925, 8.60407325)",10
M,"(1.2, 0.9875, 0.375)","(6.08096775, 3.98310475, 7.07320025)",18
